inspection_score,inspection_type,violation_id,violation_description,risk_category
94,Routine - Unscheduled,5653_20170928_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
87,Routine - Unscheduled,3839_20160815_103133,Foods not protected from contamination,Moderate Risk
98,Routine - Unscheduled,5118_20161207_103154,Unclean or degraded floors walls or ceilings,Low Risk
65,Routine - Unscheduled,2263_20180514_103132,Improper thawing methods,Moderate Risk
85,Routine - Unscheduled,3084_20160907_103109,Unclean or unsanitary food contact surfaces,High Risk
82,Routine - Unscheduled,74922_20160430_103135,No person in charge of food facility,Low Risk
77,Routine - Unscheduled,1631_20160906_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
84,Routine - Unscheduled,1005_20160502_103154,Unclean or degraded floors walls or ceilings,Low Risk
71,Routine - Unscheduled,4960_20160413_103142,Unclean nonfood contact surfaces,Low Risk
96,Routine - Unscheduled,74983_20160518_103156,Permit license or inspection report not posted,Low Risk
90,Routine - Unscheduled,438_20160321_103138,Improper storage use or identification of toxic substances,Low Risk
90,Routine - Unscheduled,400_20180222_103138,Improper storage use or identification of toxic substances,Low Risk
92,Routine - Unscheduled,3190_20170105_103133,Foods not protected from contamination,Moderate Risk
88,Routine - Unscheduled,74829_20160923_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
85,Routine - Unscheduled,64933_20180516_103132,Improper thawing methods,Moderate Risk
86,Routine - Unscheduled,5033_20170104_103142,Unclean nonfood contact surfaces,Low Risk
64,Routine - Unscheduled,83476_20160428_103139,Improper food storage,Low Risk
72,Routine - Unscheduled,286_20160607_103144,Unapproved or unmaintained equipment or utensils,Low Risk
77,Routine - Unscheduled,68454_20160223_103114,High risk vermin infestation,High Risk
88,Routine - Unscheduled,65086_20180905_103131,Moderate risk vermin infestation,Moderate Risk
76,Routine - Unscheduled,76437_20160329_103157,Food safety certificate or food handler card not available,Low Risk
94,Routine - Unscheduled,35862_20161205_103120,Moderate risk food holding temperature,Moderate Risk
72,Routine - Unscheduled,286_20160607_103102,Unclean hands or improper use of gloves,High Risk
88,Routine - Unscheduled,68768_20160607_103161,Low risk vermin infestation,Low Risk
90,Routine - Unscheduled,82664_20161109_103120,Moderate risk food holding temperature,Moderate Risk
76,Routine - Unscheduled,69282_20160413_103105,Improper cooling methods,High Risk
90,Routine - Unscheduled,2292_20160414_103132,Improper thawing methods,Moderate Risk
96,Routine - Unscheduled,94981_20180911_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
96,Routine - Unscheduled,795_20160607_103150,Improper or defective plumbing,Low Risk
57,Routine - Unscheduled,76615_20160504_103103,High risk food holding temperature,High Risk
88,Routine - Unscheduled,37882_20160322_103142,Unclean nonfood contact surfaces,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
81,Routine - Unscheduled,77031_20160325_103114,High risk vermin infestation,High Risk
71,Routine - Unscheduled,4960_20160413_103112,No hot water or running water,High Risk
94,Routine - Unscheduled,79753_20161014_103157,Food safety certificate or food handler card not available,Low Risk
86,Routine - Unscheduled,76685_20171208_103144,Unapproved or unmaintained equipment or utensils,Low Risk
92,Routine - Unscheduled,3248_20180725_103129,Insufficient hot water or running water,Moderate Risk
84,Routine - Unscheduled,4864_20161206_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
84,Routine - Unscheduled,17947_20160510_103156,Permit license or inspection report not posted,Low Risk
98,Routine - Unscheduled,795_20170104_103154,Unclean or degraded floors walls or ceilings,Low Risk
85,Routine - Unscheduled,3189_20160510_103139,Improper food storage,Low Risk
86,Routine - Unscheduled,87780_20171211_103132,Improper thawing methods,Moderate Risk
92,Routine - Unscheduled,70779_20171212_103156,Permit license or inspection report not posted,Low Risk
90,Routine - Unscheduled,64682_20171212_103131,Moderate risk vermin infestation,Moderate Risk
88,Routine - Unscheduled,1880_20180724_103161,Low risk vermin infestation,Low Risk
86,Routine - Unscheduled,74149_20161207_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,67276_20160430_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
75,Routine - Unscheduled,62064_20160411_103144,Unapproved or unmaintained equipment or utensils,Low Risk
94,Routine - Unscheduled,35862_20161205_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
88,Routine - Unscheduled,3076_20160815_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,92467_20180822_103157,Food safety certificate or food handler card not available,Low Risk
92,Routine - Unscheduled,67982_20160930_103129,Insufficient hot water or running water,Moderate Risk
90,Routine - Unscheduled,37389_20161205_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
90,Routine - Unscheduled,1002_20180509_103118,Employee eating or smoking,Moderate Risk
63,Routine - Unscheduled,2110_20160906_103148,No thermometers or uncalibrated thermometers,Low Risk
83,Routine - Unscheduled,62900_20161017_103139,Improper food storage,Low Risk
88,Routine - Unscheduled,3253_20160413_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,38179_20160517_103154,Unclean or degraded floors walls or ceilings,Low Risk
88,Routine - Unscheduled,81758_20160404_103145,Improper storage of equipment utensils or linens,Low Risk
92,Routine - Unscheduled,6800_20160519_103142,Unclean nonfood contact surfaces,Low Risk
92,Routine - Unscheduled,3496_20161202_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,66536_20160413_103118,Employee eating or smoking,Moderate Risk
92,Routine - Unscheduled,3328_20160510_103157,Food safety certificate or food handler card not available,Low Risk
90,Routine - Unscheduled,35805_20180514_103156,Permit license or inspection report not posted,Low Risk
96,Routine - Unscheduled,3458_20180724_103157,Food safety certificate or food handler card not available,Low Risk
79,Routine - Unscheduled,1144_20160929_103103,High risk food holding temperature,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
87,Routine - Unscheduled,66534_20160413_103112,No hot water or running water,High Risk
88,Routine - Unscheduled,3659_20160603_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
83,Routine - Unscheduled,18826_20160926_103131,Moderate risk vermin infestation,Moderate Risk
75,Routine - Unscheduled,76992_20160928_103154,Unclean or degraded floors walls or ceilings,Low Risk
89,Routine - Unscheduled,2447_20180911_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
90,Routine - Unscheduled,36348_20171205_103120,Moderate risk food holding temperature,Moderate Risk
96,Routine - Unscheduled,90010_20170105_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
92,Routine - Unscheduled,70494_20160216_103133,Foods not protected from contamination,Moderate Risk
92,Routine - Unscheduled,3190_20170105_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,33315_20160518_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,92427_20180725_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
96,Routine - Unscheduled,59637_20160324_103147,Inadequate ventilation or lighting,Low Risk
75,Routine - Unscheduled,4703_20160919_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,85095_20170104_103139,Improper food storage,Low Risk
76,Routine - Unscheduled,76437_20160329_103154,Unclean or degraded floors walls or ceilings,Low Risk
90,Routine - Unscheduled,60067_20180510_103131,Moderate risk vermin infestation,Moderate Risk
94,Routine - Unscheduled,80619_20180830_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
87,Routine - Unscheduled,75402_20170105_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,26149_20180516_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
90,Routine - Unscheduled,16349_20180227_103143,Inadequate warewashing facilities or equipment,Low Risk
83,Routine - Unscheduled,65873_20160815_103139,Improper food storage,Low Risk
85,Routine - Unscheduled,78113_20180509_103131,Moderate risk vermin infestation,Moderate Risk
90,Routine - Unscheduled,81919_20180511_103120,Moderate risk food holding temperature,Moderate Risk
88,Routine - Unscheduled,3594_20160330_103144,Unapproved or unmaintained equipment or utensils,Low Risk
85,Routine - Unscheduled,82290_20160329_103133,Foods not protected from contamination,Moderate Risk
92,Routine - Unscheduled,12199_20160628_103143,Inadequate warewashing facilities or equipment,Low Risk
90,Routine - Unscheduled,5999_20180724_103157,Food safety certificate or food handler card not available,Low Risk
86,Routine - Unscheduled,5033_20170104_103154,Unclean or degraded floors walls or ceilings,Low Risk
74,Routine - Unscheduled,7711_20180726_103103,High risk food holding temperature,High Risk
92,Routine - Unscheduled,1632_20160810_103142,Unclean nonfood contact surfaces,Low Risk
90,Routine - Unscheduled,62784_20180419_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
87,Routine - Unscheduled,4703_20180727_103157,Food safety certificate or food handler card not available,Low Risk
92,Routine - Unscheduled,82009_20160304_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
83,Routine - Unscheduled,65873_20160815_103161,Low risk vermin infestation,Low Risk
88,Routine - Unscheduled,2249_20171204_103156,Permit license or inspection report not posted,Low Risk
84,Routine - Unscheduled,88340_20160811_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
87,Routine - Unscheduled,81884_20161206_103109,Unclean or unsanitary food contact surfaces,High Risk
94,Routine - Unscheduled,67869_20161205_103144,Unapproved or unmaintained equipment or utensils,Low Risk
74,Routine - Unscheduled,3571_20171213_103118,Employee eating or smoking,Moderate Risk
90,Routine - Unscheduled,74591_20160815_103128,Consumer advisory not provided for raw or undercooked foods,Moderate Risk
94,Routine - Unscheduled,95363_20180515_103118,Employee eating or smoking,Moderate Risk
90,Routine - Unscheduled,2110_20180724_103142,Unclean nonfood contact surfaces,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
94,Routine - Unscheduled,77432_20180510_103144,Unapproved or unmaintained equipment or utensils,Low Risk
91,Routine - Unscheduled,91162_20180515_103102,Unclean hands or improper use of gloves,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
85,Routine - Unscheduled,2497_20160607_103108,Contaminated or adulterated food,High Risk
88,Routine - Unscheduled,81579_20160902_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
96,Routine - Unscheduled,78985_20160812_103157,Food safety certificate or food handler card not available,Low Risk
98,Routine - Unscheduled,28044_20171212_103154,Unclean or degraded floors walls or ceilings,Low Risk
92,Routine - Unscheduled,5960_20160506_103162,Other low risk violation,Low Risk
90,Routine - Unscheduled,74358_20160511_103120,Moderate risk food holding temperature,Moderate Risk
94,Routine - Unscheduled,695_20160930_103120,Moderate risk food holding temperature,Moderate Risk
84,Routine - Unscheduled,1005_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
82,Routine - Unscheduled,3031_20160929_103132,Improper thawing methods,Moderate Risk
74,Routine - Unscheduled,7711_20180726_103141,Improper food labeling or menu misrepresentation,Low Risk
96,Routine - Unscheduled,91042_20171214_103133,Foods not protected from contamination,Moderate Risk
98,Routine - Unscheduled,68260_20160518_103139,Improper food storage,Low Risk
72,Routine - Unscheduled,68872_20171212_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,74358_20160511_103154,Unclean or degraded floors walls or ceilings,Low Risk
57,Routine - Unscheduled,76615_20160504_103132,Improper thawing methods,Moderate Risk
90,Routine - Unscheduled,61512_20160628_103120,Moderate risk food holding temperature,Moderate Risk
88,Routine - Unscheduled,40217_20160502_103157,Food safety certificate or food handler card not available,Low Risk
80,Routine - Unscheduled,589_20160503_103103,High risk food holding temperature,High Risk
94,Routine - Unscheduled,4592_20160907_103139,Improper food storage,Low Risk
86,Routine - Unscheduled,62710_20160511_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
82,Routine - Unscheduled,13814_20160930_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
88,Routine - Unscheduled,68768_20160607_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk
70,Routine - Unscheduled,27949_20180910_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
86,Routine - Unscheduled,69353_20160907_103131,Moderate risk vermin infestation,Moderate Risk
73,Routine - Unscheduled,6619_20170104_103148,No thermometers or uncalibrated thermometers,Low Risk
